7/20/04    Illinois Soil Moisture Water Equivalent (mm)
              All Stations, Entire Period of Record
Date	Sta	0-10cm	10-20	30-50	50-70	70-90	90-110	110-130	130-150	150-170	170-190	190-200
1981-02-19	1	37.1	74.15	79.53	78.82	76.22	74.94	72.31	73.07	71.67	58.49	27.99
1981-02-24	1	33.28	69.96	76.91	78.71	73.07	71.56	70.65	71.74	70.15	57.41	28.33
1981-03-02	1	32.37	66.66	73.27	81.26	74.33	76.89	72.69	74.85	73.16	59.72	29.18
1981-03-09	1	31.97	64.64	71.31	78.98	76.25	73.88	72.05	72.09	71.84	57.64	28.86
1981-03-17	1	26.23	63.04	70.06	77.07	73.99	72.09	71.59	72.89	72.13	58.1	28.71
1981-03-24	1	23.31	55.11	68.14	74.75	73.2	71.19	71.01	72.85	70.36	59.08	28.16
1981-03-31	1	24.34	55.94	68.45	79.03	74.85	72.95	70.62	73.88	71.48	57.92	28.58
1981-04-07	1	29.32	58.08	69.26	78.87	77.69	72.29	72.32	74.31	72.78	61.28	29.29
1981-04-14	1	36.3	69.09	75.25	79.81	77.65	75.07	72.98	75.08	70.81	60.31	29.28
1981-04-17	1	34.86	67.62	74.04	81.56	78.82	78.24	75.79	78.09	76.31	60.3	30.47
1981-04-20	1	38.91	67.53	73.44	79.67	77.4	77.2	75.71	75.49	72.98	59.52	29.19
1981-04-21	1	35.4	61.34	72.53	77.94	75.19	75.58	72.09	74.77	71.22	60.19	29.09
1981-04-23	1	36.87	67.81	76.33	79.95	78.35	78.09	75.82	77.89	73.02	61.99	30.14
1981-04-28	1	30.63	59.94	71.67	75.68	76.03	77.74	74.69	75.5	72.24	59.7	29.79
1981-04-29	2	38.84	51.5	64.5	71.76	68.3	65.51	59.46	63.16	57.92	61.1	31.32
1981-04-29	82	35.7	51.03	63.97	68.18	64.69	63.8	58.36	58.74	56.74	57.69	30.87
1981-04-30	3	28.25	33.81	41.43	41.32	61.78	48.97	48.39	52.41	50.62	49.51	27.02
1981-05-05	1	25.66	54.34	66.37	77.98	76.36	75.29	73.27	74.51	71.98	60.68	29.75
1981-05-06	4	24.93	44.64	61.71	67.43	66.77	67.27	67.08	68.46	71.71	71.76	35.88
1981-05-11	4	33.37	65.6	71.03	73.93	74.57	77.04	73.28	76.23	76.34	75.13	37.56
1981-05-12	1	38.19	67.66	73.84	80.13	77.61	75.65	74.62	74.8	72.51	59.72	29.2
1981-05-14	4	35.76	60.8	67.29	66.27	68.23	70.03	67.25	68.99	69.76	69.75	34.87
1981-05-19	1	53.41	77.18	81.15	80.29	82.31	77.17	77.57	75.92	73.0	61.05	28.63
1981-05-21	5	25.01	62.43	72.41	68.23	69.59	64.53	59.85	60.87	51.03	47.78	23.89
1981-05-26	1	33.8	68.34	73.0	82.12	79.49	79.1	75.83	77.48	73.5	60.97	29.62
1981-06-01	16	8.4	26.43	33.53	37.01	25.48	20.76	18.71	18.83	20.46	18.26	9.25
1981-06-01	17	25.53	39.8	67.04	70.22	69.92	69.26	71.35	72.03	74.24	77.76	35.43
1981-06-02	1	30.07	59.46	68.46	77.95	76.81	73.97	74.56	73.97	71.05	58.33	28.57
1981-06-03	2	30.49	63.36	76.8	74.81	68.47	66.79	64.24	61.68	60.1	64.38	31.21
1981-06-03	82	38.79	64.05	71.99	79.42	72.02	68.56	60.43	59.9	59.78	62.52	32.14
1981-06-04	3	27.92	58.9	58.05	74.35	71.15	61.69	63.15	62.73	62.57	59.2	29.6
1981-06-08	1	24.65	44.42	60.27	76.29	76.17	74.52	71.44	76.21	70.93	57.85	27.9
1981-06-09	1	23.45	48.51	62.84	79.09	77.23	73.4	73.77	75.26	71.06	58.92	28.74
1981-06-13	3	32.36	60.05	57.43	73.33	70.41	62.43	61.91	64.37	61.56	58.26	29.13
1981-06-15	5	36.81	62.83	71.77	70.11	67.74	62.72	58.47	58.11	51.16	47.09	23.54
1981-06-16	1	36.22	63.44	64.29	77.08	74.59	73.78	75.06	74.29	72.04	59.26	29.12
1981-06-18	4	34.06	58.26	65.22	71.0	69.13	71.01	70.27	70.24	72.83	70.73	35.36
1981-06-18	16	18.56	29.9	36.27	39.99	27.5	22.58	20.85	18.89	19.91	17.58	9.13
1981-06-19	6	35.11	70.74	58.96	58.84	60.24	62.97	63.5	67.23	71.71	68.95	35.02
1981-06-23	1	27.57	57.37	64.77	63.93	65.25	75.37	73.13	75.05	71.85	59.42	28.92
1981-06-23	3	33.62	59.61	57.2	71.11	70.6	62.94	61.75	64.82	62.4	57.87	28.94
1981-06-24	6	37.94	71.31	63.01	61.29	62.46	64.65	71.62	69.04	74.92	72.58	36.69
1981-06-29	1	17.08	43.23	56.46	71.18	71.97	72.16	71.92	71.58	71.59	59.89	28.31
1981-06-30	2	29.34	45.57	58.11	63.74	61.89	57.53	55.16	54.35	52.18	55.2	28.04
1981-06-30	3	30.72	48.67	46.72	70.84	71.04	61.15	62.83	64.7	65.28	59.26	29.63
1981-06-30	82	33.96	48.7	59.66	65.62	63.3	63.26	57.25	55.39	54.43	61.07	30.53
1981-07-06	1	28.34	59.9	63.59	74.2	73.49	76.25	72.95	74.71	69.93	60.02	29.89
1981-07-08	2	39.7	64.51	75.53	74.06	68.52	66.11	63.1	62.53	61.04	61.68	32.06
1981-07-08	3	26.14	52.19	48.12	72.01	69.61	61.73	62.89	63.5	64.72	59.17	29.59
